	时间	文本	翻译版	大指标	对应指标	判断依据	情感	来源	具体网址	品种
0	2007-03-04 00:00:00	暴风雪突袭，蔬菜运输受阻，积雪导致大棚毁坏，上市量与交易量减少，部分蔬菜价格陡涨。	Blizzard raid, vegetable transport blocked, snow caused destruction of the greenhouse, the amount of listed and trading volume decreased, some vegetable prices steep.	自然环境	天气	暴风雪突袭，价格陡峭	正向	万方数据	http://d.wanfangdata.com.cn/Periodical/shsc200801005	蔬菜
1	2015-01-17 00:00:00	气温明显下降，蔬菜生长周期变长，当季蔬菜上市量减少，蔬菜整体价格上涨	The temperature dropped significantly, the vegetable growth cycle became longer, the seasonal vegetable market volume decreased, the overall vegetable prices	自然环境	天气	气温下降，价格上涨	正向	中新网	http://news.junmin.org/2015/xinwen_minsheng_0117/41361.html	蔬菜
2	2015-01-17 00:00:00	降温和降雨给交通运输带来影响，外省蔬菜运输不畅	Cooling and rainfall to transport to bring the impact of poor delivery of vegetables in other provinces	自然环境	天气	降温和降雨给运输带来影响，价格上涨	正向	中新网	http://news.junmin.org/2015/xinwen_minsheng_0117/41361.html 	蔬菜
3	2016-03-18 00:00:00	近期本地蔬菜还没有上市，加上受南方天气影响，蔬菜批发价格和零售价格出现上涨	The recent local vegetables have not yet listed, coupled with the impact of the South weather, vegetable wholesale prices and retail prices rose	自然环境	天气	受南方天气影响，价格上涨	正向	齐齐哈尔新闻网	http://www.qqhrnews.com/	蔬菜
4	2015-11-03 00:00:00	天气转凉，露地菜下市，并由冷棚转入暖棚，成本增加	The weather turned cool, open vegetables market, and from the shed into the shed, the cost increases	自然环境	天气	天气转凉，叶菜价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201511/t20151103_4888022.htm	蔬菜
5	2015-11-12 00:00:00	上周气温降幅是比较剧烈	Last week the temperature drop is more intense	自然环境	天气	气温降幅剧烈，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201511/t20151112_4898978.htm	蔬菜
6	2015-11-26 00:00:00	进入冬季以后，蔬菜的生产、运输、保鲜的成本大幅上升，促使菜价上涨	After entering the winter, the cost of the production, transportation and preservation of vegetables has risen sharply,	自然环境	天气	进入冬季，菜价上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201511/t20151126_4915699.htm	蔬菜
7	2015-11-26 00:00:00	周末受到大范围降水的影响，菜价有所上涨。	The weekend was affected by a wide range of precipitation, vegetable prices have risen.	自然环境	天气	受降水影响，菜价上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201511/t20151126_4915699.htm	蔬菜
8	2015-12-01 00:00:00	上周受冷空气南下影响，温度骤降，加上北方多地出现大范围雨雪降温天气，对农业生产及蔬菜南下运输造成影响，菜价上涨。	Last week, affected by the cold air south, the temperature plummeted, coupled with the North more than a large range of rain and snow cooling weather, agricultural production and vegetable southbound transport impact, vegetable prices.	自然环境	天气	受冷空气影响，菜价上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151201_4920081.htm	蔬菜
9	2015-12-02 00:00:00	天气因素影响，气温下降明显，昼夜温差较大，白天时间短，导致蔬菜生产速度放缓，生长成本增加，上市量有所减少	Weather factors, the temperature dropped significantly, large temperature difference between day and night, short time during the day, resulting in slowing the pace of vegetable production, growth costs increased, the amount of listed	自然环境	天气	气温下降明显，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151202_4921615.htm	蔬菜
10	2015-12-02 00:00:00	降温降雪导致高速封路，运输时间增长，运输途中需要对蔬菜采取保湿保暖措施,运输成本增加	Cooling down the snow led to high-speed road closures, transport time increases, the transport of vegetables need to take moisturizing measures, transport costs	自然环境	天气	降温降雪导致高速封路，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151202_4921615.htm	蔬菜
11	2015-12-02 00:00:00	气温下降，蔬菜在销售过程中损耗增加，成本上涨。	The temperature drops, the loss of vegetables in the sales process increases, the cost increases.	自然环境	天气	气温下降，损耗增加，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151202_4921615.htm	蔬菜
12	2015-12-03 00:00:00	本期天气原因，外省下雪，运输不便，外地蔬菜量减少，本地蔬菜受冷空气影响，生长缓慢，供应量减少。	The reasons for the current weather, snow in other provinces, transport inconvenience, reduce the amount of vegetables in the field, local vegetables affected by cold air, slow growth, supply reduction.	自然环境	天气	外省下雪，本地受冷空气影响，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151203_4922971.htm	蔬菜
13	2015-12-03 00:00:00	北方大雪纷飞，蔬菜供应量减少，造成供不应求的现象，大部分蔬菜价格都有上涨趋势	Snow in the north, reduced supply of vegetables, resulting in short supply, most of the vegetable prices are rising trend	自然环境	天气	大雪纷飞，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151203_4922971.htm	蔬菜
14	2015-12-04 00:00:00	上周迎来下半年以来的首次寒潮，极端天气对本场蔬菜交易造成较大影响，其中地产蔬菜的价格涨幅明显	Last week ushered in the second half since the first cold wave, extreme weather on the field of vegetable transactions caused a greater impact, including real estate vegetable prices rose significantly	自然环境	天气	寒潮，价格涨幅明显	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151204_4924081.htm	蔬菜
15	2015-12-04 00:00:00	当前全国大部分地区也都处于低温状态，许多大棚菜低温寡照料，产量也不高，价格也是慢慢上扬。	The current part of the country are also in a low temperature state, many greenhouse vegetables low temperature care, production is not high, the price is slowly rising.	自然环境	天气	低温，价格上扬	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151204_4924081.htm	蔬菜
16	2015-12-04 00:00:00	受强降温影响，当前市场地产菜的日上市量减少，大部分叶菜价格上涨	Affected by the strong cooling, the current market real estate market to reduce the amount of listed, most of the leafy vegetables prices	自然环境	天气	受强降温影响，叶菜价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151204_4924080.htm	蔬菜
17	2015-12-07 00:00:00	本月天气转冷，地产蔬菜供应量持续减少，造成本月蔬菜整体价格出现较大幅度上涨	This month the weather turned cold, real estate vegetable supply continued to decline, resulting in the overall price of vegetables this month, a substantial rise	自然环境	天气	天气转冷，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151207_4925704.htm	蔬菜
18	2015-12-07 00:00:00	迎来降温阴雨天气，新移植的大棚蔬菜由于光照不足长势缓慢	Welcome to cool the rainy weather, the new transplanted greenhouse vegetables due to lack of light growing slowly	自然环境	天气	降温阴雨天气，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151207_4925703.htm	蔬菜
19	2015-12-07 00:00:00	部分北上蔬菜产区由于强降雪导致高速封路，蔬菜运输车辆滞留，拉高了市场蔬菜的总体价格	Part of the north of the vegetable producing areas due to heavy snowfall led to high-speed road closures, vegetable transport vehicles stranded, pulled the overall market price of vegetables	自然环境	天气	强降雪，高速封路，拉高价格	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151207_4925703.htm	蔬菜
20	2015-12-14 00:00:00	受气温下降因素影响，蔬菜上市量萎缩，蔬菜整体价格呈现出上涨走势	Affected by the temperature drop factors, vegetable market shrinking, the overall price of vegetables showed a rising trend	自然环境	天气	气温下降，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151214_4950961.htm	蔬菜
21	2015-12-15 00:00:00	天气寒冷，外地瓜果类蔬菜受运输成本大，价格有所增高。	Cold weather, foreign fruits and vegetables by transport costs, the price has increased.	自然环境	天气	天气寒冷，价格增高	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151215_4952435.htm	蔬菜
22	2015-12-23 00:00:00	冷空气持续南下，降温明显，本地蔬菜生长慢且产量有限；	Cold air continued south, cooling significantly, local vegetable growth slow and limited production;	自然环境	天气	降温明显，价格上升	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151223_4962016.htm	蔬菜
23	2015-12-23 00:00:00	北方产区南运蔬菜部分由于天气原因滞留延迟，运达时菜叶已开始出现糜烂，质量较差，叶菜供应偏紧价格上涨	The northern part of the northern part of the vegetable industry due to the reasons for the delay in the weather delay, arrived at the time the leaves have begun to erode, poor quality, leafy vegetables supply tight prices	自然环境	天气	天气原因，价格上涨	正向	中国农业信息网	http://www.agri.cn/V20/SC/scdt/201512/t20151223_4962016.htm	蔬菜
